code,name,conference,url
CLE,Cleveland Cavaliers,East,https://www.basketball-reference.com/teams/CLE/2025.html
BOS,Boston Celtics,East,https://www.basketball-reference.com/teams/BOS/2025.html
NYK,New York Knicks,East,https://www.basketball-reference.com/teams/NYK/2025.html
IND,Indiana Pacers,East,https://www.basketball-reference.com/teams/IND/2025.html
MIL,Milwaukee Bucks,East,https://www.basketball-reference.com/teams/MIL/2025.html
DET,Detroit Pistons,East,https://www.basketball-reference.com/teams/DET/2025.html
ORL,Orlando Magic,East,https://www.basketball-reference.com/teams/ORL/2025.html
ATL,Atlanta Hawks,East,https://www.basketball-reference.com/teams/ATL/2025.html
CHI,Chicago Bulls,East,https://www.basketball-reference.com/teams/CHI/2025.html
MIA,Miami Heat,East,https://www.basketball-reference.com/teams/MIA/2025.html
TOR,Toronto Raptors,East,https://www.basketball-reference.com/teams/TOR/2025.html
BRK,Brooklyn Nets,East,https://www.basketball-reference.com/teams/BRK/2025.html
PHI,Philadelphia 76ers,East,https://www.basketball-reference.com/teams/PHI/2025.html
CHO,Charlotte Hornets,East,https://www.basketball-reference.com/teams/CHO/2025.html
WAS,Washington Wizards,East,https://www.basketball-reference.com/teams/WAS/2025.html
OKC,Oklahoma City Thunder,West,https://www.basketball-reference.com/teams/OKC/2025.html
HOU,Houston Rockets,West,https://www.basketball-reference.com/teams/HOU/2025.html
LAL,Los Angeles Lakers,West,https://www.basketball-reference.com/teams/LAL/2025.html
DEN,Denver Nuggets,West,https://www.basketball-reference.com/teams/DEN/2025.html
LAC,Los Angeles Clippers,West,https://www.basketball-reference.com/teams/LAC/2025.html
MIN,Minnesota Timberwolves,West,https://www.basketball-reference.com/teams/MIN/2025.html
GSW,Golden State Warriors,West,https://www.basketball-reference.com/teams/GSW/2025.html
MEM,Memphis Grizzlies,West,https://www.basketball-reference.com/teams/MEM/2025.html
SAC,Sacramento Kings,West,https://www.basketball-reference.com/teams/SAC/2025.html
DAL,Dallas Mavericks,West,https://www.basketball-reference.com/teams/DAL/2025.html
PHO,Phoenix Suns,West,https://www.basketball-reference.com/teams/PHO/2025.html
POR,Portland Trail Blazers,West,https://www.basketball-reference.com/teams/POR/2025.html
SAS,San Antonio Spurs,West,https://www.basketball-reference.com/teams/SAS/2025.html
NOP,New Orleans Pelicans,West,https://www.basketball-reference.com/teams/NOP/2025.html
UTA,Utah Jazz,West,https://www.basketball-reference.com/teams/UTA/2025.html
